date,diff_km
1980-01-01,-210.0
1980-01-02,3263.0
1980-01-03,6867.0
1980-01-04,10422.0
1980-01-05,13701.0
1980-01-06,16450.0
1980-01-07,18419.0
1980-01-08,19383.0
1980-01-09,19176.0
1980-01-10,17704.0
1980-01-11,14968.0
1980-01-12,11075.0
1980-01-13,6240.0
1980-01-14,779.0
1980-01-15,-4903.0
1980-01-16,-10353.0
1980-01-17,-15116.0
1980-01-18,-18796.0
1980-01-19,-21115.0
1980-01-20,-21956.0
1980-01-21,-21370.0
1980-01-22,-19552.0
1980-01-23,-16790.0
1980-01-24,-13400.0
1980-01-25,-9672.0
1980-01-26,-5839.0
1980-01-27,-2055.0
1980-01-28,1589.0
1980-01-29,5053.0
1980-01-30,8318.0
1980-01-31,11361.0
1980-02-01,14135.0
1980-02-02,16555.0
1980-02-03,18500.0
1980-02-04,19818.0
1980-02-05,20341.0
1980-02-06,19910.0
1980-02-07,18397.0
1980-02-08,15731.0
1980-02-09,11919.0
1980-02-10,7069.0
1980-02-11,1400.0
1980-02-12,-4753.0
1980-02-13,-10953.0
1980-02-14,-16696.0
1980-02-15,-21464.0
1980-02-16,-24803.0
1980-02-17,-26402.0
1980-02-18,-26148.0
1980-02-19,-24147.0
1980-02-20,-20691.0
1980-02-21,-16189.0
1980-02-22,-11088.0
1980-02-23,-5802.0
1980-02-24,-669.0
1980-02-25,4073.0
1980-02-26,8279.0
1980-02-27,11883.0
1980-02-28,14875.0
1980-02-29,17268.0
1980-03-01,19079.0
1980-03-02,20310.0
1980-03-03,20931.0
1980-03-04,20887.0
1980-03-05,20094.0
1980-03-06,18464.0
1980-03-07,15918.0
1980-03-08,12415.0
1980-03-09,7976.0
1980-03-10,2708.0
1980-03-11,-3176.0
1980-03-12,-9348.0
1980-03-13,-15378.0
1980-03-14,-20760.0
1980-03-15,-24978.0
1980-03-16,-27583.0
1980-03-17,-28281.0
1980-03-18,-26994.0
1980-03-19,-23879.0
1980-03-20,-19293.0
1980-03-21,-13715.0
1980-03-22,-7658.0
1980-03-23,-1599.0
1980-03-24,4073.0
1980-03-25,9079.0
1980-03-26,13247.0
1980-03-27,16505.0
1980-03-28,18852.0
1980-03-29,20338.0
1980-03-30,21035.0
1980-03-31,21016.0
1980-04-01,20339.0
1980-04-02,19036.0
1980-04-03,17109.0
1980-04-04,14543.0
1980-04-05,11316.0
1980-04-06,7423.0
1980-04-07,2900.0
1980-04-08,-2148.0
1980-04-09,-7529.0
1980-04-10,-12952.0
1980-04-11,-18034.0
1980-04-12,-22332.0
1980-04-13,-25400.0
1980-04-14,-26863.0
1980-04-15,-26495.0
1980-04-16,-24277.0
1980-04-17,-20405.0
1980-04-18,-15254.0
1980-04-19,-9306.0
1980-04-20,-3077.0
1980-04-21,2958.0
1980-04-22,8406.0
1980-04-23,12983.0
1980-04-24,16516.0
1980-04-25,18935.0
1980-04-26,20257.0
1980-04-27,20562.0
1980-04-28,19974.0
1980-04-29,18635.0
1980-04-30,16683.0
1980-05-01,14237.0
1980-05-02,11388.0
1980-05-03,8194.0
1980-05-04,4692.0
1980-05-05,912.0
1980-05-06,-3100.0
1980-05-07,-7258.0
1980-05-08,-11415.0
1980-05-09,-15353.0
1980-05-10,-18786.0
1980-05-11,-21388.0
1980-05-12,-22839.0
1980-05-13,-22886.0
1980-05-14,-21402.0
1980-05-15,-18426.0
1980-05-16,-14167.0
1980-05-17,-8973.0
1980-05-18,-3282.0
1980-05-19,2447.0
1980-05-20,7783.0
1980-05-21,12368.0
1980-05-22,15939.0
1980-05-23,18336.0
1980-05-24,19503.0
1980-05-25,19477.0
1980-05-26,18375.0
1980-05-27,16368.0
1980-05-28,13666.0
1980-05-29,10491.0
1980-05-30,7051.0
1980-05-31,3527.0
1980-06-01,54.0
1980-06-02,-3278.0
1980-06-03,-6416.0
1980-06-04,-9327.0
1980-06-05,-11974.0
1980-06-06,-14295.0
1980-06-07,-16185.0
1980-06-08,-17499.0
1980-06-09,-18063.0
1980-06-10,-17711.0
1980-06-11,-16319.0
1980-06-12,-13851.0
1980-06-13,-10381.0
1980-06-14,-6103.0
1980-06-15,-1307.0
1980-06-16,3650.0
1980-06-17,8390.0
1980-06-18,12555.0
1980-06-19,15840.0
1980-06-20,18019.0
1980-06-21,18956.0
1980-06-22,18617.0
1980-06-23,17062.0
1980-06-24,14441.0
1980-06-25,10980.0
1980-06-26,6959.0
1980-06-27,2684.0
1980-06-28,-1539.0
1980-06-29,-5442.0
1980-06-30,-8815.0
1980-07-01,-11531.0
1980-07-02,-13537.0
1980-07-03,-14851.0
1980-07-04,-15525.0
1980-07-05,-15625.0
1980-07-06,-15197.0
1980-07-07,-14256.0
1980-07-08,-12788.0
1980-07-09,-10763.0
1980-07-10,-8162.0
1980-07-11,-5007.0
1980-07-12,-1377.0
1980-07-13,2577.0
1980-07-14,6638.0
1980-07-15,10544.0
1980-07-16,14008.0
1980-07-17,16751.0
1980-07-18,18528.0
1980-07-19,19157.0
1980-07-20,18532.0
1980-07-21,16640.0
1980-07-22,13565.0
1980-07-23,9494.0
1980-07-24,4702.0
1980-07-25,-462.0
1980-07-26,-5605.0
1980-07-27,-10327.0
1980-07-28,-14274.0
1980-07-29,-17180.0
1980-07-30,-18900.0
1980-07-31,-19419.0
1980-08-01,-18843.0
1980-08-02,-17355.0
1980-08-03,-15173.0
1980-08-04,-12505.0
1980-08-05,-9518.0
1980-08-06,-6329.0
1980-08-07,-3010.0
1980-08-08,395.0
1980-08-09,3846.0
1980-08-10,7286.0
1980-08-11,10620.0
1980-08-12,13714.0
1980-08-13,16397.0
1980-08-14,18472.0
