date,diff_km
1970-01-01,0.0
1971-01-01,-25925.0
1972-01-01,-16941.0
1973-01-01,13934.0
1974-01-01,-734.0
1974-12-31,-29521.0
1976-01-01,-11756.0
1977-01-01,12935.0
1977-12-31,-2313.0
1979-01-01,-32031.0
1980-01-01,-6964.0
1981-01-01,12067.0
1982-01-01,-4406.0
1983-01-01,-33887.0
1984-01-01,-2020.0
1985-01-01,10942.0
1986-01-01,-7488.0
1987-01-01,-34287.0
1988-01-01,2061.0
1989-01-01,10145.0
1990-01-01,-11236.0
1991-01-01,-33251.0
1992-01-01,5227.0
1993-01-01,9829.0
1994-01-01,-16006.0
1995-01-01,-30575.0
1996-01-01,7452.0
1997-01-01,9161.0
1998-01-01,-20545.0
1999-01-01,-27078.0
2000-01-01,8911.0
2001-01-01,8770.0
2002-01-01,-25539.0
2003-01-01,-22230.0
2004-01-01,9481.0
2005-01-01,7597.0
2005-12-31,-29505.0
2006-12-31,-17528.0
2007-12-31,9989.0
2009-01-01,5776.0
2010-01-01,-32621.0
2011-01-01,-12669.0
2012-01-01,10425.0
2013-01-01,2889.0
2014-01-01,-34300.0
2015-01-01,-8391.0
2015-12-31,10785.0
2017-01-01,-668.0
2018-01-01,-34577.0
2019-01-01,-4938.0
2020-01-01,11912.0
2021-01-01,-5527.0
2022-01-01,-33111.0
2023-01-01,-2402.0
2024-01-01,12648.0
2025-01-01,-10242.0
2026-01-01,-30941.0
2027-01-01,-525.0
2028-01-01,13662.0
2029-01-01,-15517.0
2030-01-01,-27489.0
2031-01-01,508.0
2032-01-01,14108.0
2033-01-01,-20048.0
2034-01-01,-24036.0
2035-01-01,1349.0
2036-01-01,13978.0
2037-01-01,-23800.0
2038-01-01,-20553.0
2039-01-01,2422.0
2040-01-01,12690.0
2041-01-01,-26301.0
2042-01-01,-17407.0
2043-01-01,3335.0
2044-01-01,10948.0
2045-01-01,-27708.0
2046-01-01,-14969.0
2047-01-01,5298.0
2048-01-01,7737.0
2049-01-01,-27525.0
2050-01-01,-13277.0
2051-01-01,7190.0
2052-01-01,4525.0
2053-01-01,-26902.0
2054-01-01,-12088.0
2055-01-01,9561.0
2056-01-01,799.0
2057-01-01,-25393.0
2058-01-01,-11400.0
2059-01-01,11686.0
2060-01-01,-2647.0
2061-01-01,-23835.0
2062-01-01,-10958.0
2063-01-01,13539.0
2064-01-01,-5522.0
2065-01-01,-22598.0
2066-01-01,-9817.0
2067-01-01,14240.0
