colpower,max,min,mean,std,size,medianVIOLTOT,mean_wo,mean_w
UK,452,38,135.1764705882353,93.92629947262012,34,2.0,41.25017111561519,229.10277006085542
F,132,28,83.83333333333333,24.010263505909062,24,3.0,59.82306982742426,107.8435968392424
x,131,0,69.0,41.58792559812951,10,1.0,27.41207440187049,110.58792559812952
P,469,96,323.6666666666667,199.6655536975102,3,5.0,124.00111296915648,523.3322203641769
JP,321,69,153.0,145.4922678357857,3,4.0,7.507732164214303,298.4922678357857
B,81,62,69.33333333333333,10.21436896402971,3,4.0,59.11896436930362,79.54770229736303
I,105,15,53.333333333333336,46.45786621588785,3,4.0,6.875467117445488,99.79119954922118
US,381,155,268.0,159.80613254815975,2,3.0,108.19386745184025,427.8061325481598
NL,343,343,343.0,,1,5.0,,
SP,190,190,190.0,,1,1.0,,
UK/F,93,93,93.0,,1,2.0,,
AU,91,91,91.0,,1,1.0,,
