sex,n_child,year,low,mean,high,trend
F,0,2015,14.455037438690667,19.1625,23.869962561309336,19.204107142857197
F,0,2016,14.248132267104346,18.962500000000002,23.67686773289566,18.940089285714294
F,0,2017,14.178965018405439,18.846875,23.514784981594563,18.676071428571504
F,0,2018,13.545364150491869,18.265624999999996,22.985885849508122,18.4120535714286
F,0,2019,13.349548208795564,18.046874999999996,22.74420179120443,18.148035714285697
F,0,2020,13.034992430906623,17.98,22.925007569093378,17.884017857142908
F,1,2015,15.28015329700245,21.675000000000004,28.06984670299756,22.233120839733715
F,1,2016,15.745463122655298,22.27096774193548,28.79647236121566,21.964449564772167
F,1,2017,15.624134076393286,21.993548387096773,28.36296269780026,21.695778289810505
F,1,2018,15.26113521020514,21.658064516129027,28.054993822052914,21.427107014848957
F,1,2019,14.905342800652424,21.367741935483874,27.830141070315324,21.158435739887295
F,1,2020,13.935016004533397,20.40333333333334,26.871650662133284,20.889764464925747
F,2,2015,17.754886582822806,25.480645161290326,33.206403739757846,25.87332200019432
F,2,2016,18.44093018657902,26.293333333333337,34.14573648008765,25.61608554037116
F,2,2017,17.091418924760607,24.640625000000007,32.189831075239404,25.35884908054811
F,2,2018,17.739876774839924,25.493333333333332,33.24678989182674,25.101612620725064
F,2,2019,17.829032449423334,25.469999999999995,33.11096755057666,24.844376160902016
F,2,2020,16.372838093974966,24.00344827586207,31.634058457749173,24.587139701078854
M,0,2015,7.207145982929241,8.778125000000001,10.349104017070761,8.826498015873028
M,0,2016,7.313734488849274,8.86875,10.423765511150727,8.675843253968253
M,0,2017,6.921225512524986,8.521875000000001,10.122524487475017,8.525188492063478
M,0,2018,6.597366735603057,8.159375,9.721383264396945,8.374533730158703
M,0,2019,6.48590994553682,8.134374999999999,9.782840054463177,8.223878968253928
M,0,2020,6.3545766522477285,8.236666666666666,10.118756681085605,8.07322420634921
M,1,2015,4.823836600527466,5.9645161290322575,7.105195657537049,6.064500768049157
M,1,2016,5.035204702449915,6.223333333333333,7.41146196421675,5.975496159754215
M,1,2017,4.646576246629753,5.800000000000001,6.953423753370249,5.886491551459272
M,1,2018,4.582508484029535,5.77741935483871,6.972330225647884,5.797486943164358
M,1,2019,4.294051777879716,5.516666666666666,6.739281555453616,5.708482334869416
M,1,2020,4.321837855652261,5.77,7.218162144347738,5.619477726574502
M,2,2015,4.0311905823743475,4.958064516129031,5.884938449883715,4.965145046524327
M,2,2016,3.896426140172072,4.836666666666668,5.776907193161263,4.872572134823514
M,2,2017,3.9070071973900373,4.83225806451613,5.7575089316422225,4.7799992231226724
M,2,2018,3.708807853651084,4.716666666666667,5.724525479682249,4.687426311421831
M,2,2019,3.552065839746854,4.558620689655173,5.5651755395634925,4.594853399721018
M,2,2020,3.395166365048773,4.5,5.604833634951227,4.502280488020176
