CountryName,CountryCode,percentage
Aruba,ABW,97.81268310546879
Afghanistan,AFG,29.8052101135254
Albania,ALB,97.7611236572266
Argentina,ARG,99.06204223632808
Benin,BEN,31.0716495513916
Burkina Faso,BFA,32.6876182556152
Bangladesh,BGD,71.1819381713867
Bahrain,BHR,94.94888305664058
Belarus,BLR,99.7251815795898
Brazil,BRA,93.4250717163086
Brunei Darussalam,BRN,96.30126190185551
Central African Republic,CAF,25.7563800811768
China,CHN,95.15933227539058
Cote d'Ivoire,CIV,40.49937057495121
Cameroon,CMR,71.5862731933594
Congo Rep.,COG,74.61875915527341
Colombia,COL,95.3189163208008
Comoros,COM,52.956390380859396
Costa Rica,CRI,97.92443084716801
Algeria,DZA,75.3229675292969
Eritrea,ERI,68.94618988037111
Spain,ESP,97.9737777709961
Gabon,GAB,83.4239730834961
Ghana,GHA,74.4743881225586
Greece,GRC,97.3940963745117
Honduras,HND,87.2655563354492
Indonesia,IDN,93.99217987060551
India,IND,65.7908096313477
Italy,ITA,98.97191619873051
Jordan,JOR,97.8320770263672
Kazakhstan,KAZ,99.7389907836914
Kenya,KEN,78.1889266967773
Kyrgyz Republic,KGZ,99.4997177124023
Kuwait,KWT,94.90515899658199
Lebanon,LBN,93.3050079345703
Sri Lanka,LKA,90.7956008911133
Latvia,LVA,99.90640258789058
Morocco,MAR,64.5913772583008
Madagascar,MDG,72.3840866088867
Mexico,MEX,94.6080474853516
Mali,MLI,25.7351608276367
Malta,MLT,95.9887237548828
Montenegro,MNE,98.2713470458984
Mongolia,MNG,98.6488876342773
Mauritius,MUS,89.3663787841797
Malaysia,MYS,93.5048294067383
Namibia,NAM,91.43643188476558
Niger,NER,26.649999618530302
Nigeria,NGA,52.6564788818359
Nepal,NPL,59.724430084228494
Oman,OMN,92.6939926147461
Panama,PAN,94.88172149658199
Peru,PER,91.7031097412109
Portugal,PRT,95.07251739501949
Paraguay,PRY,93.53170776367192
West Bank and Gaza,PSE,95.74195098876949
Pacific island small states,PSS,89.1703109741211
Romania,ROU,98.5997695922852
Russian Federation,RUS,99.7341079711914
Rwanda,RWA,69.3945388793945
Sudan,SDN,56.063228607177706
Singapore,SGP,95.9194107055664
Sierra Leone,SLE,34.8520317077637
El Salvador,SLV,87.23413848876949
San Marino,SMR,99.9019088745117
South Sudan,SSD,28.8642597198486
Sao Tome and Principe,STP,89.5157318115234
Suriname,SUR,92.7120590209961
Eswatini,SWZ,88.5426864624023
Seychelles,SYC,96.3501968383789
Thailand,THA,92.42855834960942
Timor-Leste,TLS,64.2109375
Tonga,TON,99.4750289916992
Uganda,UGA,70.8380584716797
Uruguay,URY,99.0077362060547
Uzbekistan,UZB,99.98587036132808
Vietnam,VNM,93.59671020507808
Vanuatu,VUT,86.7060928344727
Samoa,WSM,99.2450408935547
Zambia,ZMB,83.0834426879883
