CountryName,CountryCode,percentage,gender
Aruba,ABW,97.81268310546879,Female
Afghanistan,AFG,29.8052101135254,Female
Albania,ALB,97.7611236572266,Female
Argentina,ARG,99.06204223632808,Female
Benin,BEN,31.0716495513916,Female
Burkina Faso,BFA,32.6876182556152,Female
Bangladesh,BGD,71.1819381713867,Female
Bahrain,BHR,94.94888305664058,Female
Belarus,BLR,99.7251815795898,Female
Brazil,BRA,93.4250717163086,Female
Brunei Darussalam,BRN,96.30126190185551,Female
Central African Republic,CAF,25.7563800811768,Female
China,CHN,95.15933227539058,Female
Cote d'Ivoire,CIV,40.49937057495121,Female
Cameroon,CMR,71.5862731933594,Female
Congo Rep.,COG,74.61875915527341,Female
Colombia,COL,95.3189163208008,Female
Comoros,COM,52.956390380859396,Female
Costa Rica,CRI,97.92443084716801,Female
Algeria,DZA,75.3229675292969,Female
Eritrea,ERI,68.94618988037111,Female
Spain,ESP,97.9737777709961,Female
Gabon,GAB,83.4239730834961,Female
Ghana,GHA,74.4743881225586,Female
Greece,GRC,97.3940963745117,Female
Honduras,HND,87.2655563354492,Female
Indonesia,IDN,93.99217987060551,Female
India,IND,65.7908096313477,Female
Italy,ITA,98.97191619873051,Female
Jordan,JOR,97.8320770263672,Female
Kazakhstan,KAZ,99.7389907836914,Female
Kenya,KEN,78.1889266967773,Female
Kyrgyz Republic,KGZ,99.4997177124023,Female
Kuwait,KWT,94.90515899658199,Female
Lebanon,LBN,93.3050079345703,Female
Sri Lanka,LKA,90.7956008911133,Female
Latvia,LVA,99.90640258789058,Female
Morocco,MAR,64.5913772583008,Female
Madagascar,MDG,72.3840866088867,Female
Mexico,MEX,94.6080474853516,Female
Mali,MLI,25.7351608276367,Female
Malta,MLT,95.9887237548828,Female
Montenegro,MNE,98.2713470458984,Female
Mongolia,MNG,98.6488876342773,Female
Mauritius,MUS,89.3663787841797,Female
Malaysia,MYS,93.5048294067383,Female
Namibia,NAM,91.43643188476558,Female
Niger,NER,26.649999618530302,Female
Nigeria,NGA,52.6564788818359,Female
Nepal,NPL,59.724430084228494,Female
Oman,OMN,92.6939926147461,Female
Panama,PAN,94.88172149658199,Female
Peru,PER,91.7031097412109,Female
Portugal,PRT,95.07251739501949,Female
Paraguay,PRY,93.53170776367192,Female
West Bank and Gaza,PSE,95.74195098876949,Female
Pacific island small states,PSS,89.1703109741211,Female
Romania,ROU,98.5997695922852,Female
Russian Federation,RUS,99.7341079711914,Female
Rwanda,RWA,69.3945388793945,Female
Sudan,SDN,56.063228607177706,Female
Singapore,SGP,95.9194107055664,Female
Sierra Leone,SLE,34.8520317077637,Female
El Salvador,SLV,87.23413848876949,Female
San Marino,SMR,99.9019088745117,Female
South Sudan,SSD,28.8642597198486,Female
Sao Tome and Principe,STP,89.5157318115234,Female
Suriname,SUR,92.7120590209961,Female
Eswatini,SWZ,88.5426864624023,Female
Seychelles,SYC,96.3501968383789,Female
Thailand,THA,92.42855834960942,Female
Timor-Leste,TLS,64.2109375,Female
Tonga,TON,99.4750289916992,Female
Uganda,UGA,70.8380584716797,Female
Uruguay,URY,99.0077362060547,Female
Uzbekistan,UZB,99.98587036132808,Female
Vietnam,VNM,93.59671020507808,Female
Vanuatu,VUT,86.7060928344727,Female
Samoa,WSM,99.2450408935547,Female
Zambia,ZMB,83.0834426879883,Female
Aruba,ABW,97.8001327514648,Male
Afghanistan,AFG,55.4754486083984,Male
Albania,ALB,98.5136184692383,Male
Argentina,ARG,98.93773651123051,Male
Benin,BEN,53.9770317077637,Male
Burkina Faso,BFA,50.074588775634794,Male
Bangladesh,BGD,76.6692581176758,Male
Bahrain,BHR,98.7631683349609,Male
Belarus,BLR,99.7939834594727,Male
Brazil,BRA,93.00904083251949,Male
Brunei Darussalam,BRN,98.05361938476558,Male
Central African Republic,CAF,49.514591217040994,Male
China,CHN,98.4665374755859,Male
