date,dawn,sunrise,noon,sunset,dusk,eod
2020-01-01,473,43,227,226,44,427
2020-01-02,473,43,227,228,43,426
2020-01-03,473,43,228,228,43,425
2020-01-04,472,44,228,229,43,424
2020-01-05,472,43,229,230,43,423
2020-01-06,472,43,230,231,43,421
2020-01-07,472,42,231,232,43,420
2020-01-08,471,43,232,232,43,419
2020-01-09,471,42,233,234,42,418
2020-01-10,470,43,234,234,43,416
2020-01-11,470,42,235,236,42,415
2020-01-12,469,42,236,237,43,413
2020-01-13,468,43,237,238,42,412
2020-01-14,468,42,238,239,42,411
2020-01-15,467,42,240,240,42,409
2020-01-16,466,42,241,242,42,407
2020-01-17,465,42,242,244,41,406
2020-01-18,464,42,244,244,42,404
2020-01-19,463,42,245,246,41,403
2020-01-20,462,41,247,248,41,401
2020-01-21,461,41,249,249,40,400
2020-01-22,460,41,250,250,41,398
2020-01-23,459,41,251,252,41,396
2020-01-24,458,40,253,254,41,394
2020-01-25,457,40,255,255,40,393
2020-01-26,456,40,256,257,40,391
2020-01-27,454,40,258,259,40,389
2020-01-28,453,40,259,261,39,388
2020-01-29,452,39,261,263,39,386
2020-01-30,450,39,264,264,39,384
2020-01-31,449,39,265,266,39,382
2020-02-01,447,39,267,268,39,380
2020-02-02,446,39,268,269,39,379
2020-02-03,444,39,270,271,39,377
2020-02-04,442,39,272,273,39,375
2020-02-05,441,38,274,275,39,373
2020-02-06,439,38,277,276,39,371
2020-02-07,437,39,278,278,39,369
2020-02-08,436,38,280,280,38,368
2020-02-09,434,38,282,282,38,366
2020-02-10,432,38,284,284,38,364
2020-02-11,430,38,286,286,38,362
2020-02-12,429,37,288,288,38,360
2020-02-13,427,37,290,290,38,358
2020-02-14,425,37,292,292,38,356
2020-02-15,423,37,294,294,37,355
2020-02-16,421,37,296,296,37,353
2020-02-17,419,37,298,298,37,351
2020-02-18,417,37,300,300,37,349
2020-02-19,415,36,302,303,37,347
2020-02-20,413,36,304,305,37,345
2020-02-21,411,36,306,307,37,343
2020-02-22,409,36,308,309,37,341
2020-02-23,406,37,310,311,36,340
2020-02-24,404,36,313,313,36,338
2020-02-25,402,36,315,315,36,336
2020-02-26,400,36,317,317,36,334
2020-02-27,398,36,318,320,36,332
2020-02-28,396,35,321,322,36,330
2020-02-29,393,36,323,324,36,328
2020-03-01,391,36,325,326,35,327
2020-03-02,389,36,327,328,35,325
2020-03-03,387,35,329,330,36,323
2020-03-04,384,36,331,332,36,321
2020-03-05,382,36,333,334,36,319
2020-03-06,380,35,336,336,36,317
2020-03-07,377,36,338,338,36,315
2020-03-08,375,35,340,341,35,314
2020-03-09,373,35,342,343,35,312
2020-03-10,370,36,344,345,35,310
2020-03-11,368,35,347,347,35,308
2020-03-12,365,36,348,349,36,306
