year,import_country_iso3,export_country_iso3,value,quantity
2020,BEL,AZE,222.954,      143.399
2020,BLR,AZE,49.361,       92.163
2020,CZE,AZE,34.621,       31.495
2020,GEO,AZE,309.124,      110.780
2020,DEU,AZE,434.636,      296.033
2020,IRL,AZE,9.322,        5.079
2020,ITA,AZE,3.937,        1.785
2020,KAZ,AZE,196.89,      368.959
2020,LTU,AZE,10.032,        6.769
2020,MEX,AZE,306.477,      212.642
2020,NLD,AZE,11.738,        3.246
2020,POL,AZE,7.551,        2.595
2020,RUS,AZE,976.455,     2073.138
2020,ESP,AZE,8.574,        5.617
2020,TUR,AZE,821.13,     1021.697
2020,UKR,AZE,0.071,        0.156
2020,GBR,AZE,2.023,        1.183
2020,ARM,ARG,8.202,       10.694
2020,BEL,ARG,270.361,      295.949
2020,BRA,ARG,9495.714,    22551.191
2020,CAN,ARG,6.679,        0.987
2020,CHL,ARG,189.709,      147.627
2020,CHN,ARG,8.215,       14.764
2020,CZE,ARG,8.775,        7.020
2020,DNK,ARG,30.152,       33.038
2020,FRA,ARG,129.22,      279.559
2020,DEU,ARG,5243.419,     9928.096
2020,IRL,ARG,3.691,        1.267
2020,ITA,ARG,111.395,      113.806
2020,JPN,ARG,23.761,       21.061
2020,LUX,ARG,0.565,        0.478
2020,MEX,ARG,5032.59,     4452.750
2020,,ARG,1.58,        1.764
2020,NLD,ARG,147.817,      176.447
2020,NOR,ARG,8.198,        1.705
2020,PRY,ARG,248.92,      458.421
2020,PER,ARG,84.723,      132.582
2020,POL,ARG,12.511,       27.498
2020,PRT,ARG,27.902,       27.907
2020,RUS,ARG,9.192,       26.136
2020,VNM,ARG,6.615,        1.490
2020,ESP,ARG,65.939,       61.670
2020,GBR,ARG,3.794,        0.022
2020,USA,ARG,991.747,      669.797
2020,URY,ARG,13.138,       20.191
2020,ARG,AUS,68.783,       69.364
2020,AUT,AUS,202.446,      197.222
2020,ARM,AUS,1.5,        2.085
2020,BEL,AUS,10992.185,    10733.468
2020,BIH,AUS,41.951,       23.890
2020,BRA,AUS,33.183,       25.297
2020,BLZ,AUS,120.802,      122.065
2020,BGR,AUS,3.752,        5.760
2020,BLR,AUS,2.3,        3.620
2020,KHM,AUS,11.548,       11.493
2020,CAN,AUS,835.69,      845.049
2020,LKA,AUS,137.175,      119.569
2020,CHL,AUS,3.786,        2.713
2020,CHN,AUS,7841.051,     7868.194
2020,COL,AUS,13.705,        8.074
2020,HRV,AUS,144.121,      112.489
2020,CYP,AUS,1315.599,     1124.420
2020,CZE,AUS,1905.388,     2050.120
2020,DNK,AUS,475.114,      439.520
2020,DOM,AUS,0.826,        0.836
2020,SLV,AUS,253.596,      335.948
2020,EST,AUS,1.625,        1.967
2020,FJI,AUS,4.121,        4.095
2020,FIN,AUS,1.34,        0.010
2020,FRA,AUS,3605.224,     3676.138
2020,DEU,AUS,16292.979,    18823.644
2020,GRC,AUS,476.236,      462.404
2020,HKG,AUS,471.13,      472.129
2020,HUN,AUS,13.937,       12.477
2020,ISL,AUS,0.057,        0.004
2020,IDN,AUS,526.375,      495.807
2020,IRL,AUS,9403.847,     8573.393
2020,ISR,AUS,19.374,       19.408
2020,ITA,AUS,17072.835,    23335.613
2020,JAM,AUS,2.494,        2.522
2020,JPN,AUS,10758.535,    11256.084
2020,KOR,AUS,2114.006,     2389.894
2020,LBN,AUS,80.209,       76.622
2020,LVA,AUS,59.52,       67.900
2020,LTU,AUS,12.262,       12.054
2020,MYS,AUS,19.29,       24.532
2020,MLT,AUS,27.827,       28.141
2020,MUS,AUS,97.789,      122.609
2020,MEX,AUS,114590.696,   115700.727
2020,,AUS,75.718,       71.912
2020,MNE,AUS,51.006,       49.365
2020,NAM,AUS,45.277,       45.647
2020,NPL,AUS,21.246,       21.454
2020,NLD,AUS,16788.542,    18516.479
