year,import_country_iso3,export_country_iso3,value,quantity
2020,BLR,AZE,165.092,       42.070
2020,HRV,AZE,128.802,       54.598
2020,EST,AZE,63.896,        7.155
2020,FRA,AZE,78.847,        9.589
2020,GEO,AZE,81.208,        9.589
2020,DEU,AZE,30.376,        3.240
2020,HUN,AZE,2.229,        0.152
2020,KAZ,AZE,57.811,       14.979
2020,LTU,AZE,22.543,        5.695
2020,LUX,AZE,30.938,        2.450
2020,RUS,AZE,1340.698,      400.558
2020,ARE,AZE,69.514,       12.194
2020,TUR,AZE,2845.208,      464.687
2020,UKR,AZE,274.81,      117.317
2020,GBR,AZE,26.214,       12.504
2020,BRA,ARG,455.442,      120.981
2020,FRA,ARG,77.175,       13.904
2020,ITA,ARG,967.221,      127.907
2020,KOR,ARG,61.289,       30.229
2020,BGD,AUS,18.288,       42.994
2020,BEL,AUS,26.588,        7.877
2020,BRA,AUS,206.931,       52.314
2020,CAN,AUS,121.817,       34.056
2020,CHN,AUS,6028.799,     3816.871
2020,COL,AUS,2.8,        0.996
2020,FRA,AUS,8808.539,     2203.320
2020,HKG,AUS,37.687,        3.622
2020,HUN,AUS,4142.12,     1414.288
2020,IDN,AUS,2591.172,     1144.034
2020,ISR,AUS,106.383,       21.977
2020,ITA,AUS,3821.088,      735.924
2020,JPN,AUS,1898.182,      209.317
2020,KOR,AUS,830.226,      255.904
2020,LTU,AUS,11.651,        3.740
2020,MYS,AUS,101.697,       32.631
2020,,AUS,1653.705,      309.141
2020,MNG,AUS,29.206,        5.392
2020,NLD,AUS,1823.952,      485.275
2020,NZL,AUS,4431.758,     1538.260
2020,PAK,AUS,1.176,        0.250
2020,PHL,AUS,192.976,       69.253
2020,POL,AUS,493.485,       98.581
2020,PRT,AUS,767.438,      520.226
2020,SGP,AUS,1001.212,      358.835
2020,VNM,AUS,43.381,        8.681
2020,SVN,AUS,502.203,      126.239
2020,ZAF,AUS,3.851,        0.557
2020,ESP,AUS,5333.681,     1217.700
2020,SWE,AUS,1029.802,      303.907
2020,CHE,AUS,723.199,      155.845
2020,THA,AUS,321.286,      101.641
2020,MKD,AUS,0.014,        0.004
2020,GBR,AUS,30.578,        4.749
2020,USA,AUS,29069.388,     8234.564
2020,AUS,AUT,0.02,        0.007
2020,BEL,AUT,7251.051,     2162.664
2020,BGR,AUT,21.025,        2.887
2020,CHN,AUT,12.392,        2.100
2020,HRV,AUT,5.531,        5.141
2020,CZE,AUT,9.014,       13.619
2020,DNK,AUT,1.936,        0.243
2020,FIN,AUT,76.671,       17.695
2020,FRA,AUT,1774.993,      796.067
2020,DEU,AUT,52280.463,    18927.513
2020,GRC,AUT,267.622,       37.711
2020,HUN,AUT,5778.599,     2113.675
2020,ISR,AUT,7.597,        1.484
2020,ITA,AUT,7007.481,     1641.597
2020,KOR,AUT,10.057,        2.814
2020,LTU,AUT,12.881,        2.850
2020,NLD,AUT,4859.199,     1398.671
2020,NZL,AUT,4.591,        2.311
2020,NOR,AUT,2.907,        0.768
2020,POL,AUT,5993.42,     1878.479
2020,PRT,AUT,839.335,      317.026
2020,ROU,AUT,981.519,      136.281
2020,SRB,AUT,35.927,       33.429
2020,SVK,AUT,32.688,        9.666
2020,VNM,AUT,1.822,        0.544
2020,SVN,AUT,5585.569,     1326.194
2020,ESP,AUT,259.417,      113.764
2020,SWE,AUT,5.938,        1.934
2020,CHE,AUT,327.602,       70.303
2020,THA,AUT,1.0,        0.312
2020,UKR,AUT,2.831,        0.459
2020,MKD,AUT,878.979,      265.371
2020,GBR,AUT,1271.939,      531.838
2020,AUT,ARM,1.195,        0.032
2020,BGR,ARM,15.452,        1.063
2020,BLR,ARM,20.2,        7.725
2020,CZE,ARM,14.307,        1.426
2020,FRA,ARM,112.541,       12.507
2020,GEO,ARM,37.353,        3.773
2020,DEU,ARM,61.184,        3.279
2020,HUN,ARM,3.39,        0.193
2020,ITA,ARM,11.713,        3.038
2020,NLD,ARM,0.28,        0.096
2020,POL,ARM,3.003,        0.529
2020,PRT,ARM,0.18,        0.027
2020,RUS,ARM,581.01,      157.532
2020,ESP,ARM,20.602,        1.558
2020,UKR,ARM,95.844,       38.379
2020,GBR,ARM,0.273,        0.023
2020,USA,ARM,21.564,        0.618
2020,BRA,BRB,0.793,        0.210
2020,DOM,BRB,519.923,      191.670
2020,FRA,BRB,87.144,       13.341
2020,DEU,BRB,29.841,       14.258
2020,GUY,BRB,782.981,      249.414
2020,PAN,BRB,0.226,        0.193
2020,SUR,BRB,818.357,      307.229
2020,TTO,BRB,598.982,      271.708
2020,TUR,BRB,0.266,        0.087
2020,GBR,BRB,131.665,       49.194
2020,USA,BRB,629.713,      160.114
2020,ARG,BEL,0.003,        0.010
2020,BRA,BEL,2.371,        0.418
2020,BGR,BEL,36.413,        7.106
2020,CZE,BEL,60.898,       23.377
2020,DNK,BEL,0.032,        0.021
2020,FRA,BEL,85710.042,    32968.297
2020,DEU,BEL,49887.66,    13508.568
2020,GRC,BEL,147.102,       18.504
2020,HUN,BEL,1.033,        0.209
2020,IRL,BEL,24.475,       13.441
2020,ISR,BEL,44.669,        4.018
2020,ITA,BEL,2049.108,      266.237
2020,JPN,BEL,13.46,        2.082
2020,LTU,BEL,155.462,       50.598
2020,LUX,BEL,157.108,       47.269
2020,,BEL,130.975,       15.830
2020,NLD,BEL,55226.908,    15196.450
2020,POL,BEL,238.586,       38.427
2020,PRT,BEL,6.405,        3.612
2020,ROU,BEL,11.591,        5.044
2020,RUS,BEL,0.001,           NA
2020,SRB,BEL,0.017,        0.022
2020,SVN,BEL,2135.604,      689.509
2020,ZAF,BEL,0.024,        0.002
2020,ESP,BEL,1187.144,      231.385
2020,SWE,BEL,32.983,        8.861
2020,CHE,BEL,115.98,       43.240
2020,THA,BEL,19.785,        5.908
2020,TUR,BEL,21.514,        6.902
2020,MKD,BEL,53.91,       14.905
2020,EGY,BEL,44.408,       10.878
2020,GBR,BEL,813.717,      152.593
2020,USA,BEL,40.527,        5.211
2020,ARG,BOL,295.873,       85.456
2020,BRA,BOL,0.053,        0.004
2020,FRA,BOL,68.861,       11.876
2020,URY,BOL,187.321,       47.700
2020,BEL,BIH,140.202,       91.770
2020,BRA,BIH,0.648,        0.346
2020,BGR,BIH,1.363,        0.360
2020,BLR,BIH,66.419,       21.745
2020,HRV,BIH,7751.761,     3022.268
2020,FRA,BIH,131.51,       17.653
2020,DEU,BIH,151.704,       29.696
2020,GRC,BIH,28.321,        3.738
2020,HUN,BIH,808.479,      103.648
2020,ITA,BIH,0.505,        0.055
2020,LTU,BIH,122.897,       41.404
2020,POL,BIH,1311.373,      473.897
2020,SRB,BIH,3941.99,     1294.570
2020,SVK,BIH,91.285,       49.870
2020,SVN,BIH,331.672,      130.400
2020,MKD,BIH,114.279,       34.698
2020,SAU,BWA,0.142,        2.000
2020,ZAF,BWA,3719.842,     2670.420
2020,ZWE,BWA,36.251,       17.661
2020,ARG,BRA,177.593,       57.445
2020,FRA,BRA,4358.249,     1052.736
2020,HUN,BRA,770.437,      203.013
2020,ITA,BRA,128.221,       26.221
2020,JPN,BRA,2.964,        1.656
2020,KOR,BRA,157.858,       78.163
2020,MEX,BRA,210.921,       41.729
2020,,BRA,5.232,        3.831
2020,ESP,BRA,21.748,        7.173
2020,USA,BRA,2907.534,      746.426
2020,URY,BRA,117.335,       37.170
2020,AUS,BRN,98.299,       20.871
2020,IDN,BRN,64.52,       46.000
2020,ITA,BRN,40.427,        2.272
2020,JPN,BRN,2.756,        0.407
2020,KOR,BRN,25.484,        7.983
2020,MYS,BRN,1201.215,      465.729
2020,,BRN,0.444,        0.304
2020,PHL,BRN,48.676,       10.789
2020,IND,BRN,66.775,       18.390
2020,SGP,BRN,100.672,       14.705
2020,THA,BRN,35.522,        9.069
2020,GBR,BRN,49.3,       13.328
2020,AUT,BGR,46.05,       11.377
2020,BEL,BGR,2189.89,      664.998
2020,BRA,BGR,0.206,        0.060
2020,BLR,BGR,159.965,       52.182
2020,CZE,BGR,313.696,      123.537
2020,FRA,BGR,591.823,      147.486
2020,DEU,BGR,3565.505,     1131.383
2020,GRC,BGR,65.267,       20.088
2020,HUN,BGR,40.61,        6.977
2020,IRL,BGR,17.493,        5.980
2020,ITA,BGR,524.283,      155.610
2020,LVA,BGR,28.738,        4.519
2020,LTU,BGR,74.981,       13.552
2020,NLD,BGR,105.595,       25.461
2020,POL,BGR,1644.647,      678.383
2020,ROU,BGR,1507.706,      481.702
2020,RUS,BGR,29.733,        8.904
2020,SRB,BGR,12943.486,     6321.508
2020,SVN,BGR,67.949,       10.261
2020,ESP,BGR,48.679,       10.326
2020,SWE,BGR,1.382,        0.251
2020,TUR,BGR,33.013,        6.387
2020,UKR,BGR,755.684,      292.282
2020,GBR,BGR,73.559,       38.752
2020,CHN,MMR,435.59,      207.780
2020,FRA,MMR,70.781,       23.867
2020,ITA,MMR,39.582,        5.647
2020,KOR,MMR,53.178,       24.444
2020,MYS,MMR,304.188,      174.450
2020,NLD,MMR,81.479,       27.333
2020,SGP,MMR,33.713,        6.914
2020,ESP,MMR,5.407,        2.400
2020,THA,MMR,3131.191,     6668.084
2020,BIH,BLR,95.818,       29.678
2020,POL,BLR,31.447,        5.013
2020,RUS,BLR,3339.342,     1519.242
2020,AUS,KHM,23.098,        1.898
2020,CHN,KHM,82.707,       40.198
2020,FRA,KHM,91.356,       27.075
2020,HKG,KHM,1.134,        0.445
2020,IDN,KHM,225.02,      324.291
2020,JPN,KHM,80.076,       11.001
2020,KOR,KHM,217.816,       70.811
2020,MYS,KHM,44.665,       12.460
2020,,KHM,1.123,        0.406
2020,NLD,KHM,0.632,        0.550
2020,SGP,KHM,2.883,        0.773
2020,VNM,KHM,71.287,       14.414
2020,THA,KHM,5500.686,     2607.082
2020,TUR,KHM,0.01,        0.004
2020,GBR,KHM,33.536,        2.838
2020,USA,KHM,141.24,       23.117
2020,AUS,CAN,0.26,        0.233
2020,BEL,CAN,14.619,        1.683
2020,BRA,CAN,16.012,        5.423
2020,BLR,CAN,65.7,       17.989
2020,CHN,CAN,702.304,      192.523
2020,COL,CAN,4.134,        0.957
2020,DNK,CAN,0.022,        0.004
2020,FJI,CAN,1.366,        0.400
2020,FRA,CAN,13.13,        1.115
2020,DEU,CAN,21.503,        1.555
2020,GRC,CAN,33.56,        9.078
2020,GTM,CAN,0.139,        0.019
2020,ISR,CAN,95.296,       20.938
2020,ITA,CAN,885.696,      168.202
2020,JPN,CAN,2162.407,      207.261
2020,KOR,CAN,7102.377,     2382.855
2020,LTU,CAN,214.18,       42.868
2020,MYS,CAN,28.827,       31.743
2020,MEX,CAN,0.077,        0.029
2020,,CAN,5653.705,      928.350
2020,NLD,CAN,26.771,        3.870
2020,NZL,CAN,0.009,        0.002
2020,NOR,CAN,0.121,        0.011
2020,PAK,CAN,1.335,        0.300
2020,PHL,CAN,520.989,      195.877
2020,POL,CAN,31.728,        8.693
2020,RUS,CAN,2511.624,     1696.817
2020,SAU,CAN,0.011,        0.006
2020,IND,CAN,128.049,       28.268
2020,SGP,CAN,0.008,        0.026
2020,VNM,CAN,145.717,        4.540
2020,ZAF,CAN,97.622,      166.449
2020,ESP,CAN,1.831,        1.488
2020,SWE,CAN,0.008,        0.001
2020,THA,CAN,1202.877,      176.996
2020,TUR,CAN,25.886,        8.852
2020,GBR,CAN,1.373,        0.431
2020,USA,CAN,21453.652,     3676.095
2020,FRA,LKA,43.824,        8.262
2020,HKG,LKA,0.03,        0.041
2020,PHL,LKA,0.238,        0.027
2020,IND,LKA,55.502,       10.494
2020,SGP,LKA,0.18,        0.113
2020,THA,LKA,142.457,       60.873
2020,GBR,LKA,16.156,        4.300
2020,USA,LKA,9.018,        1.170
2020,ARG,CHL,2194.343,     1142.801
2020,BRA,CHL,160.449,       14.095
