year,import_country_iso3,export_country_iso3,value,quantity
2020,LUX,AZE,0.113,        0.001
2020,TUR,AZE,2.249,        0.043
2020,BRA,ARG,0.044,        0.020
2020,FRA,ARG,0.945,        0.081
2020,IRN,ARG,2.289,        0.001
2020,ITA,ARG,2.265,        0.001
2020,PRT,ARG,130.046,        0.265
2020,ESP,ARG,2566.202,        4.546
2020,AFG,AUS,40.155,        2.483
2020,LKA,AUS,2.491,        0.220
2020,FRA,AUS,26.399,        0.549
2020,GRC,AUS,4.787,        0.010
2020,IRN,AUS,831.183,        3.522
2020,ITA,AUS,3.819,        0.024
2020,NZL,AUS,54.186,        0.006
2020,PAK,AUS,2.988,        0.002
2020,PHL,AUS,1.172,        0.025
2020,PRT,AUS,11.609,        0.012
2020,IND,AUS,112.813,        0.190
2020,SGP,AUS,0.936,        0.008
2020,ESP,AUS,573.683,        2.394
2020,ARE,AUS,1.198,        0.016
2020,GBR,AUS,3.561,        0.490
2020,USA,AUS,147.898,        3.108
2020,AFG,AUT,5.329,        0.047
2020,CZE,AUT,3.769,        0.044
2020,DNK,AUT,0.063,        0.001
2020,FRA,AUT,17.656,        0.020
2020,DEU,AUT,237.081,        0.109
2020,GRC,AUT,151.871,        0.056
2020,IRN,AUT,383.345,        0.807
2020,IRL,AUT,0.014,           NA
2020,ITA,AUT,9.149,        0.130
2020,MYS,AUT,0.194,        0.002
2020,MAR,AUT,0.469,           NA
2020,OMN,AUT,0.172,        0.001
2020,NLD,AUT,2.118,        0.004
2020,POL,AUT,2.675,        0.003
2020,SAU,AUT,0.119,        0.001
2020,SVK,AUT,5.035,        0.006
2020,ESP,AUT,111.952,        0.128
2020,CHE,AUT,11.212,        0.084
2020,ARE,AUT,0.251,        0.001
2020,GBR,AUT,2.911,        0.343
2020,AUT,ARM,0.021,        0.001
2020,GEO,ARM,0.599,        0.050
2020,LBN,ARM,0.116,        0.002
2020,ROU,ARM,0.113,        0.002
2020,RUS,ARM,0.19,        0.002
2020,BRA,BRB,0.006,        0.002
2020,DMA,BRB,0.463,        0.722
2020,FRA,BRB,1.678,        0.030
2020,DEU,BRB,1.545,        0.006
2020,NLD,BRB,0.25,        0.001
2020,VCT,BRB,0.638,        0.574
2020,TTO,BRB,2.59,        0.524
2020,GBR,BRB,0.094,        0.045
2020,USA,BRB,6.023,        1.710
2020,AFG,BEL,9.481,        0.015
2020,AUT,BEL,0.02,           NA
2020,BRA,BEL,0.403,        0.052
2020,CZE,BEL,0.117,        0.006
2020,EST,BEL,23.583,        0.007
2020,FRA,BEL,208.917,        3.063
2020,DEU,BEL,22.75,        0.023
2020,GRC,BEL,7.713,        0.029
2020,IRN,BEL,489.426,        0.872
2020,ITA,BEL,5.408,        0.453
2020,LUX,BEL,6.274,        0.027
2020,MAR,BEL,0.685,           NA
2020,NLD,BEL,395.778,      154.416
2020,POL,BEL,0.842,        0.001
2020,PRT,BEL,4.886,        2.607
2020,IND,BEL,3.629,        0.029
2020,ESP,BEL,645.363,        1.161
2020,SWE,BEL,163.169,        0.143
2020,ARE,BEL,0.049,           NA
2020,TUR,BEL,0.816,        0.037
2020,GBR,BEL,7.797,        1.255
2020,USA,BEL,0.194,           NA
2020,BRA,BOL,0.187,        0.031
2020,FRA,BOL,0.256,        0.002
2020,ESP,BOL,3.654,        0.017
2020,USA,BOL,0.267,        0.058
2020,BRA,BIH,0.02,        0.004
2020,HRV,BIH,3.639,        0.073
2020,CZE,BIH,0.057,        0.003
2020,IRN,BIH,3.014,           NA
2020,ESP,BIH,2.283,        0.001
2020,IND,BWA,0.057,        0.007
2020,ZAF,BWA,22.405,        2.988
2020,FRA,BRA,11.769,        0.059
2020,DEU,BRA,0.665,           NA
2020,ITA,BRA,55.821,        0.017
2020,PRT,BRA,0.466,        0.032
2020,ESP,BRA,147.189,        0.060
2020,AUS,BRN,0.138,        0.150
2020,SGP,BRN,3.649,        0.121
2020,ARE,BRN,0.865,        0.067
2020,GBR,BRN,28.783,        4.222
2020,AUT,BGR,20.493,        0.025
2020,FRA,BGR,0.284,        0.001
2020,DEU,BGR,1.751,        0.002
2020,GRC,BGR,12.743,        0.607
2020,IRN,BGR,4.273,        0.003
2020,ITA,BGR,2.02,        0.005
2020,NLD,BGR,0.03,           NA
2020,ESP,BGR,2.407,        0.002
2020,GBR,BGR,0.372,        0.005
2020,GBR,MMR,0.003,           NA
2020,EST,BLR,0.383,           NA
2020,IRN,BLR,0.3,        0.011
2020,ITA,BLR,1.8,        0.014
2020,LTU,BLR,0.777,           NA
2020,ROU,BLR,0.005,           NA
2020,RUS,BLR,2.098,        0.147
2020,ESP,BLR,1.7,        0.033
2020,GBR,BLR,1.0,        0.008
2020,IND,KHM,0.035,           NA
2020,AFG,CAN,94.347,        0.403
2020,BHR,CAN,0.059,        0.001
2020,BRA,CAN,0.026,        0.004
2020,LKA,CAN,0.144,        0.010
2020,CHN,CAN,0.395,        0.002
2020,FRA,CAN,178.744,        0.633
2020,GEO,CAN,0.087,        0.002
2020,DEU,CAN,1.892,        0.002
2020,GRC,CAN,14.04,        1.308
2020,IRN,CAN,339.156,        1.731
2020,ITA,CAN,17.654,        1.096
2020,LBN,CAN,0.504,        0.165
2020,MEX,CAN,0.126,        0.007
2020,MAR,CAN,4.17,        0.009
2020,NLD,CAN,31.887,        0.246
2020,PHL,CAN,7.948,        0.622
2020,POL,CAN,2.849,        0.066
2020,PRT,CAN,0.435,        0.009
2020,IND,CAN,59.317,        1.912
2020,VNM,CAN,1.38,        0.001
2020,ZAF,CAN,34.721,        1.268
2020,ESP,CAN,785.472,       36.837
2020,SWE,CAN,0.197,        0.128
2020,TTO,CAN,18.604,        4.543
2020,ARE,CAN,16.3,        0.041
2020,TUN,CAN,1.789,        0.030
2020,TUR,CAN,2.801,        0.293
2020,EGY,CAN,3.614,        0.150
2020,GBR,CAN,24.295,        0.364
2020,TZA,CAN,0.009,           NA
2020,USA,CAN,332.678,        1.807
2020,VEN,CAN,0.015,           NA
2020,AFG,LKA,1.925,        0.015
2020,AUS,LKA,0.439,           NA
2020,BHR,LKA,0.023,           NA
2020,CHN,LKA,1.478,           NA
2020,IRN,LKA,2.365,        0.002
2020,KWT,LKA,0.005,           NA
2020,,LKA,0.47,        0.006
2020,OMN,LKA,0.171,        0.002
2020,IND,LKA,1.66,        0.062
2020,SGP,LKA,0.319,        0.300
2020,ARE,LKA,4.499,        0.085
2020,GBR,LKA,0.027,        0.003
2020,USA,LKA,0.046,           NA
2020,CHN,CHL,3.685,        1.500
2020,ITA,CHL,5.899,        0.294
2020,PRT,CHL,2.636,        0.002
2020,IND,CHL,0.014,        0.010
2020,ESP,CHL,103.31,        0.600
2020,BRA,CHN,0.202,        0.025
2020,DEU,CHN,79.656,        0.055
2020,GRC,CHN,20.092,        0.217
2020,HKG,CHN,1509.416,        1.880
2020,IDN,CHN,0.001,           NA
2020,IRN,CHN,11131.837,       24.393
2020,ESP,CHN,95.083,        0.099
2020,ARE,CHN,132.505,        8.423
2020,BRA,COL,0.005,        0.001
2020,CHN,COL,0.059,        0.017
2020,FRA,COL,5.965,        0.012
2020,IRN,COL,0.02,        0.002
2020,NLD,COL,0.416,        0.002
2020,ESP,COL,50.064,        0.103
2020,BEL,COG,0.079,           NA
2020,FRA,COG,0.282,        0.018
2020,ITA,CRI,2.121,        0.368
2020,ESP,CRI,11.014,        1.286
2020,TUR,CRI,0.181,        0.015
2020,USA,CRI,12.022,        2.212
2020,AUT,HRV,18.828,        0.010
2020,FRA,HRV,0.903,        0.007
2020,DEU,HRV,1.068,        0.003
2020,IRN,HRV,1.981,        0.001
2020,ITA,HRV,25.425,        0.016
2020,ROU,HRV,0.944,        0.009
2020,SVN,HRV,0.102,        0.004
2020,ESP,HRV,2.0,        0.001
2020,GBR,HRV,0.046,        0.001
2020,AFG,CYP,0.877,        0.001
2020,BRA,CYP,0.184,        0.028
2020,FRA,CYP,0.887,        0.001
2020,DEU,CYP,0.044,           NA
2020,GRC,CYP,9.055,        1.338
2020,NLD,CYP,0.263,        0.012
2020,POL,CYP,0.022,           NA
2020,ESP,CYP,0.261,           NA
2020,SYR,CYP,6.179,        0.291
2020,TUR,CYP,0.663,        0.020
2020,GBR,CYP,3.145,        0.059
2020,AUT,CZE,35.96,        0.022
2020,BEL,CZE,0.143,        0.020
2020,FRA,CZE,7.023,        0.010
2020,GEO,CZE,0.051,        0.002
2020,DEU,CZE,32.412,        0.183
2020,GRC,CZE,12.072,        0.018
2020,IRN,CZE,54.202,        0.096
2020,ITA,CZE,4.833,        0.121
2020,NLD,CZE,0.412,        0.014
2020,POL,CZE,4.598,        0.004
2020,IND,CZE,1.024,        0.125
2020,SVK,CZE,3.353,        0.517
2020,VNM,CZE,0.587,        0.037
2020,ESP,CZE,74.057,       34.535
2020,ARE,CZE,0.125,        0.015
2020,TUR,CZE,0.018,        0.002
2020,GBR,CZE,1.872,        0.981
2020,AFG,DNK,1.914,        0.004
2020,AUT,DNK,0.013,           NA
2020,BEL,DNK,0.597,        0.005
2020,BRA,DNK,0.203,        0.041
2020,LKA,DNK,0.091,        0.005
2020,CHN,DNK,1.289,        0.013
2020,FIN,DNK,0.967,        0.004
2020,FRA,DNK,33.704,        0.032
2020,DEU,DNK,38.641,        0.035
2020,GRC,DNK,0.132,        0.001
2020,IRN,DNK,22.902,        0.147
2020,ITA,DNK,1.384,        0.025
2020,JPN,DNK,0.023,        0.002
2020,LBN,DNK,2.502,        0.002
2020,MYS,DNK,0.059,        0.004
2020,NLD,DNK,0.585,        0.005
2020,POL,DNK,10.883,        0.011
2020,SAU,DNK,0.085,        0.009
2020,IND,DNK,10.63,        0.015
2020,VNM,DNK,0.001,        0.001
2020,ESP,DNK,303.936,        0.283
2020,SWE,DNK,24.707,        0.021
2020,THA,DNK,0.37,        0.103
2020,TUN,DNK,0.011,        0.005
2020,TUR,DNK,0.469,        0.002
2020,UGA,DNK,0.093,        0.004
2020,GBR,DNK,0.565,        0.062
2020,USA,DNK,0.782,        0.014
2020,CAN,DOM,0.103,        0.022
2020,CHN,DOM,2.49,        0.210
2020,DEU,DOM,0.922,        0.003
2020,ITA,DOM,1.88,        0.019
2020,MEX,DOM,0.016,        0.001
2020,NLD,DOM,0.479,        0.005
2020,ESP,DOM,286.558,        0.308
2020,TUR,DOM,0.017,        0.001
2020,USA,DOM,1.7,        0.015
2020,IRN,ECU,7.402,        0.001
2020,ESP,ECU,5.488,        0.007
2020,ESP,SLV,2.09,        0.012
2020,ITA,ETH,3.641,        0.035
2020,ARE,ETH,0.469,        0.031
2020,AUT,EST,0.005,           NA
2020,CHN,EST,0.177,        0.001
2020,CZE,EST,0.32,        0.021
2020,FIN,EST,9.049,        0.003
2020,FRA,EST,0.862,        0.008
2020,GEO,EST,0.361,        0.063
2020,DEU,EST,1.29,           NA
2020,IRN,EST,62.179,        0.025
2020,ITA,EST,0.311,        0.004
2020,LVA,EST,1.531,        0.001
2020,LTU,EST,0.777,        0.009
2020,NLD,EST,0.009,           NA
2020,POL,EST,0.086,           NA
2020,ESP,EST,47.489,        0.022
2020,TUR,EST,0.064,           NA
2020,GBR,EST,1.902,        0.041
2020,AFG,FIN,0.251,           NA
2020,AUT,FIN,0.004,           NA
2020,FRA,FIN,1.08,        0.048
2020,DEU,FIN,1.995,        0.001
2020,GRC,FIN,0.206,        0.001
2020,IRN,FIN,92.395,        0.196
2020,ITA,FIN,0.771,        0.011
2020,NLD,FIN,0.904,        0.008
2020,POL,FIN,0.078,           NA
2020,IND,FIN,0.581,        0.001
2020,ESP,FIN,64.811,        0.036
2020,SWE,FIN,46.417,        0.047
2020,ARE,FIN,0.013,        0.002
2020,GBR,FIN,0.354,        0.128
2020,AFG,FRA,25.807,        0.044
2020,AUS,FRA,0.275,        0.003
2020,AUT,FRA,1.132,        0.016
2020,BEL,FRA,167.68,        8.834
2020,BRA,FRA,0.067,        0.019
2020,LKA,FRA,0.269,        0.017
2020,DMA,FRA,0.369,        0.590
2020,GEO,FRA,0.064,        0.004
2020,DEU,FRA,92.87,        1.698
2020,GRC,FRA,732.207,        0.934
2020,IRN,FRA,2517.007,        6.043
2020,ITA,FRA,31.058,        0.610
2020,KWT,FRA,0.06,        0.001
2020,LUX,FRA,1.064,        0.001
2020,MUS,FRA,0.597,        0.141
2020,MDA,FRA,21.172,        0.001
2020,MAR,FRA,17.54,        0.878
2020,OMN,FRA,0.156,        0.001
2020,NLD,FRA,4.922,        0.007
2020,POL,FRA,1860.497,        1.216
