year,import_country_iso3,export_country_iso3,value,quantity
2020,GEO,AZE,15.441,       14.029
2020,IRN,AZE,24.201,       45.573
2020,LUX,AZE,5.668,        1.020
2020,NLD,AZE,0.053,        0.020
2020,TUR,AZE,84.792,      153.560
2020,TKM,AZE,18.751,       36.000
2020,UKR,AZE,0.012,        0.005
2020,BRA,ARG,871.521,     1559.751
2020,NZL,AUS,912.741,      590.983
2020,VNM,AUS,11.117,        4.684
2020,THA,AUS,0.003,        0.007
2020,USA,AUS,15.935,       12.554
2020,ALB,AUT,944.077,      806.793
2020,AZE,AUT,43.418,       34.224
2020,AUS,AUT,2.37,        3.604
2020,BEL,AUT,1128.562,      831.182
2020,BIH,AUT,2.209,        2.784
2020,BGR,AUT,28.848,       51.734
2020,CHL,AUT,2.52,        2.976
2020,CHN,AUT,0.064,        0.030
2020,COL,AUT,0.099,        0.036
2020,CRI,AUT,66.335,       23.608
2020,HRV,AUT,23.511,       13.372
2020,CYP,AUT,1.057,        0.699
2020,CZE,AUT,4.566,        7.026
2020,FRA,AUT,6171.496,     1408.798
2020,DEU,AUT,12556.416,     4462.492
2020,GRC,AUT,127.435,       41.048
2020,GTM,AUT,3.907,        0.946
2020,HUN,AUT,2998.432,     1176.000
2020,IRN,AUT,0.147,        0.173
2020,ISR,AUT,0.078,        0.028
2020,ITA,AUT,26921.61,     9111.096
2020,KOR,AUT,2.424,        1.396
2020,MAC,AUT,1.513,        0.960
2020,MRT,AUT,7.887,        1.890
2020,MEX,AUT,0.896,        0.911
2020,MAR,AUT,7924.015,     6074.380
2020,NLD,AUT,11502.442,     6329.062
2020,NER,AUT,0.126,        0.070
2020,PAN,AUT,0.569,        0.288
2020,PRY,AUT,0.046,        0.020
2020,PER,AUT,119.503,       15.946
2020,POL,AUT,587.709,      479.634
2020,PRT,AUT,185.154,      153.525
2020,SAU,AUT,0.168,        0.046
2020,SEN,AUT,4.36,        1.420
2020,SRB,AUT,7.868,        8.260
2020,SVK,AUT,19.389,       12.967
2020,SVN,AUT,1273.634,      497.124
2020,ZAF,AUT,0.01,        0.003
2020,ESP,AUT,13750.679,     9724.585
2020,SWE,AUT,0.146,        0.025
2020,CHE,AUT,75.149,       70.270
2020,THA,AUT,1.389,        1.802
2020,TUN,AUT,652.848,      141.552
2020,TUR,AUT,1230.706,     2647.284
2020,UKR,AUT,2.797,        1.164
2020,MKD,AUT,1.075,        0.934
2020,EGY,AUT,8.289,        3.641
2020,GEO,ARM,199.104,      114.444
2020,IRN,ARM,257.549,      237.178
2020,TUR,ARM,1913.918,     1727.197
2020,UZB,ARM,0.071,        0.118
2020,BRA,BRB,0.859,        0.594
2020,NLD,BRB,17.313,        2.500
2020,TTO,BRB,50.202,       16.146
2020,GBR,BRB,0.598,        0.124
2020,USA,BRB,315.623,      242.499
2020,AUT,BEL,74.893,       26.896
2020,BRA,BEL,1.404,        0.797
2020,BGR,BEL,59.684,       16.650
2020,DNK,BEL,152.03,      149.482
2020,FRA,BEL,12878.674,     9100.870
2020,DEU,BEL,394.984,      906.929
2020,GRC,BEL,43.049,       46.516
2020,ITA,BEL,734.369,      515.007
2020,LVA,BEL,0.003,        0.003
2020,LUX,BEL,111.677,       25.205
2020,MAR,BEL,825.067,      777.079
2020,MOZ,BEL,1.56,        0.061
2020,NLD,BEL,57719.964,    35000.979
2020,POL,BEL,174.49,       88.947
2020,PRT,BEL,61.34,       62.980
2020,ROU,BEL,9.283,        5.790
2020,SEN,BEL,105.162,       54.060
2020,ESP,BEL,17430.605,     8615.873
2020,CHE,BEL,11.563,        7.153
2020,TUR,BEL,110.004,       73.008
2020,GBR,BEL,42.706,       16.678
2020,PER,BOL,5.21,     1139.532
2020,ALB,BIH,3708.927,     7489.330
2020,BEL,BIH,35.916,       63.295
2020,BRA,BIH,0.57,        0.584
2020,HRV,BIH,52.078,       71.436
2020,FRA,BIH,3.883,        3.600
2020,ITA,BIH,137.965,      160.293
2020,MNE,BIH,4.565,       12.224
2020,MAR,BIH,12.452,       14.556
2020,NLD,BIH,819.657,     1592.700
2020,POL,BIH,28.126,       79.200
2020,SRB,BIH,321.084,      949.859
2020,SVN,BIH,225.055,      380.420
2020,ESP,BIH,48.125,       44.157
2020,TUR,BIH,3189.19,     7194.239
2020,MKD,BIH,349.98,     1155.587
2020,LSO,BWA,0.771,        0.940
2020,NAM,BWA,3.43,        0.880
2020,ZAF,BWA,3182.348,     5385.695
2020,USA,BWA,0.078,        0.001
2020,ARG,BRA,244.509,      292.800
2020,USA,BRA,13.068,       13.104
2020,AUS,BRN,270.819,       37.315
2020,CHN,BRN,38.752,       23.711
2020,MYS,BRN,1030.284,     2054.226
2020,,BRN,0.918,        0.108
2020,NLD,BRN,2.022,        0.274
2020,IND,BRN,1.899,        1.829
2020,SGP,BRN,4.405,        2.910
2020,THA,BRN,11.068,        2.038
2020,ALB,BGR,1204.644,     3581.201
2020,AUT,BGR,98.261,       92.460
2020,BEL,BGR,0.857,        0.632
2020,BRA,BGR,0.219,        0.240
2020,HRV,BGR,52.62,       79.200
2020,CZE,BGR,265.807,      206.380
2020,FRA,BGR,37.453,       53.873
2020,DEU,BGR,4462.888,     3039.393
2020,GRC,BGR,5406.224,    23978.175
2020,HUN,BGR,200.553,      153.366
2020,IRN,BGR,1.036,        1.113
2020,ITA,BGR,46.286,       22.239
2020,NLD,BGR,1893.262,      522.758
2020,POL,BGR,2599.823,     7200.975
2020,ROU,BGR,27.866,       30.298
2020,SRB,BGR,69.102,      230.231
2020,SVK,BGR,433.811,      121.259
2020,ESP,BGR,495.109,      342.478
2020,TUR,BGR,36791.717,    44944.642
2020,UKR,BGR,0.203,        0.119
2020,MKD,BGR,554.612,     1277.116
2020,GBR,BGR,0.487,        0.500
2020,JPN,MMR,0.073,        0.003
2020,SGP,MMR,5.87,        1.680
2020,THA,MMR,94.264,      286.364
2020,ALB,BLR,20.871,       17.300
2020,AZE,BLR,628.282,      771.829
2020,ARM,BLR,577.123,      526.483
2020,BEL,BLR,965.548,     1429.121
2020,BGR,BLR,26.092,        6.950
2020,CHL,BLR,0.186,        0.176
2020,FRA,BLR,20.981,        9.259
2020,GEO,BLR,112.98,      108.350
2020,GRC,BLR,89.804,       61.412
2020,IRN,BLR,18.589,       12.200
2020,ITA,BLR,73.288,       33.930
2020,KOR,BLR,0.06,        0.012
2020,LTU,BLR,2747.964,      443.298
2020,MDA,BLR,42.052,       40.000
2020,MAR,BLR,1609.662,      977.126
2020,NLD,BLR,7712.567,     9125.520
2020,POL,BLR,6161.827,     7206.074
2020,PRT,BLR,30.172,       42.517
2020,RUS,BLR,1446.248,     1497.136
2020,SEN,BLR,514.544,      224.519
2020,ESP,BLR,2511.013,     3953.897
2020,TUN,BLR,177.106,      138.358
2020,TUR,BLR,24164.7,    16978.565
2020,UKR,BLR,1026.163,     1479.685
2020,EGY,BLR,8.449,        5.081
2020,UZB,BLR,56.15,       84.801
2020,CHN,KHM,0.422,        0.584
2020,JPN,KHM,1.859,        0.856
2020,MYS,KHM,0.001,        0.004
2020,SGP,KHM,0.556,        0.070
2020,VNM,KHM,2.537,        1.588
2020,THA,KHM,71.658,       55.070
2020,DZA,CAN,0.554,        0.400
2020,BRA,CAN,0.024,        0.030
2020,MMR,CAN,0.051,        0.056
2020,CHN,CAN,0.025,        0.005
2020,COL,CAN,1.133,        0.128
2020,CRI,CAN,0.074,        0.034
2020,DOM,CAN,39.689,       38.102
2020,GHA,CAN,2.488,        1.250
